N,E,D
0.018885,0.000855,-3
0.02163,-0.013845,-3
0.029835,-0.057915,-3
0.04341,-0.13116,-3
0.062205,-0.233325,-3
0.086025,-0.364005,-3
0.1146,-0.522705,-3
0.14766,-0.70881,-3
0.184845,-0.921615,-3
0.225795,-1.16028,-3
0.27012,-1.42392,-3
0.3174,-1.7115,-3
0.367215,-2.021895,-3
0.419115,-2.35392,-3
0.472665,-2.70627,-3
0.5274,-3.077565,-3
0.58287,-3.466395,-3
0.638625,-3.8712,-3
0.69417,-4.29042,-3
0.74907,-4.72239,-3
0.802845,-5.16543,-3
0.855015,-5.6178,-3
0.9051,-6.077715,-3
0.95262,-6.543345,-3
0.99708,-7.01286,-3
1.038015,-7.484415,-3
1.074945,-7.95612,-3
1.107405,-8.42613,-3
1.13499,-8.89254,-3
1.157265,-9.35352,-3
1.173855,-9.807225,-3
1.184475,-10.251825,-3
1.188855,-10.68558,-3
1.18677,-11.10672,-3
1.178115,-11.513595,-3
1.16283,-11.90454,-3
1.140945,-12.27801,-3
1.11255,-12.63252,-3
1.07784,-12.966645,-3
1.03641,-13.28961,-3
0.97662,-13.61454,-3
0.897855,-13.906815,-3
0.80496,-14.16525,-3
0.702555,-14.389155,-3
0.594765,-14.57823,-3
0.485295,-14.732535,-3
0.37722,-14.852385,-3
0.27309,-14.938305,-3
0.17478,-14.990955,-3
0.083535,-15.01119,-3
0,-15,-3
-0.07371,-14.9592,-3
-0.136005,-14.89077,-3
-0.1878,-14.796015,-3
-0.23043,-14.67636,-3
-0.26553,-14.533305,-3
-0.29502,-14.368425,-3
-0.32103,-14.18325,-3
-0.34587,-13.979355,-3
-0.371925,-13.758105,-3
-0.401655,-13.520715,-3
-0.437565,-13.268085,-3
-0.478035,-12.96789,-3
-0.51366,-12.635685,-3
-0.543855,-12.28335,-3
-0.568575,-11.912235,-3
-0.58785,-11.52381,-3
-0.60177,-11.119575,-3
-0.610485,-10.701105,-3
-0.61422,-10.270035,-3
-0.61326,-9.82803,-3
-0.607905,-9.37683,-3
-0.5985,-8.918175,-3
-0.585435,-8.45388,-3
-0.5691,-7.98573,-3
-0.549885,-7.515585,-3
-0.52821,-7.045275,-3
-0.504435,-6.57666,-3
-0.47895,-6.11157,-3
-0.4521,-5.65185,-3
-0.4242,-5.199315,-3
-0.395595,-4.755735,-3
-0.366525,-4.322895,-3
-0.33729,-3.90249,-3
-0.30813,-3.496215,-3
-0.279255,-3.105645,-3
-0.25092,-2.73237,-3
-0.22332,-2.377875,-3
-0.19665,-2.04357,-3
-0.171135,-1.730805,-3
-0.14697,-1.440825,-3
-0.12435,-1.1748,-3
-0.10347,-0.933795,-3
-0.084525,-0.718785,-3
-0.06768,-0.530655,-3
-0.053115,-0.370155,-3
-0.04098,-0.23793,-3
-0.031395,-0.134535,-3
-0.024465,-0.060375,-3
-0.02028,-0.01575,-3
-0.018885,-0.000855,-3
